altitude_km,cd,ballistic_coefficient_kg_m2,lifetime_days
300,1.5,4.5,8.0
300,1.5,15.0,26.5
300,1.5,36.4,64.3
300,2.2,4.5,8.0
300,2.2,15.0,26.5
300,2.2,36.4,64.3
300,3.0,4.5,8.0
300,3.0,15.0,26.5
300,3.0,36.4,64.3
400,1.5,4.5,24.2
400,1.5,15.0,80.5
400,1.5,36.4,195.4
400,2.2,4.5,24.2
400,2.2,15.0,80.5
400,2.2,36.4,195.4
400,3.0,4.5,24.2
400,3.0,15.0,80.5
400,3.0,36.4,195.4
500,1.5,4.5,117.6
500,1.5,15.0,392.0
500,1.5,36.4,951.2
500,2.2,4.5,117.6
500,2.2,15.0,392.0
500,2.2,36.4,951.2
500,3.0,4.5,117.6
500,3.0,15.0,392.0
500,3.0,36.4,951.2
600,1.5,4.5,561.8
600,1.5,15.0,1872.7
600,1.5,36.4,4544.4
600,2.2,4.5,561.8
600,2.2,15.0,1872.7
600,2.2,36.4,4544.4
600,3.0,4.5,561.8
600,3.0,15.0,1872.7
600,3.0,36.4,4544.4
